电影名称,上映时间,评分,评论人数,演员,类型,国家,电影ID
盗梦空间,2010-09-01,9.4,2179097,"莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾利奥特·佩吉","剧情,科幻,悬疑,冒险","美国,英国",3541415
星际穿越,2014-11-12,9.4,1986684,"马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦","剧情,科幻,冒险","美国,英国,加拿大",1889243
楚门的世界,1998-06-05,9.4,1842518,"金·凯瑞,劳拉·琳妮,艾德·哈里斯","剧情,科幻",美国,1292064
机器人总动员,2008-06-27,9.3,1388573,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林","科幻,动画,冒险",美国,2131459
蝙蝠侠：黑暗骑士,2008-07-14,9.2,1121733,"克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特","剧情,动作,科幻,犯罪,惊悚","美国,英国",1851857
黑客帝国,2000-01-14,9.1,884983,"基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯","动作,科幻",美国,1291843
红辣椒,2006-09-02,9.1,513390,"林原惠美,江守彻,堀胜之祐","动画,悬疑,科幻,惊悚",日本,1865703
攻壳机动队,1995-11-18,9.1,151497,"田中敦子,大塚明夫,山寺宏一","动作,科幻,动画",日本,1291936
黑镜：圣诞特别篇,2014-12-16,9.1,129167,"乔恩·哈姆,拉菲·斯波,奥娜·卓别林","剧情,科幻,惊悚",英国,25964630
超感猎杀：完结特别篇,2018-06-08,9.2,62980,"裴斗娜,杰米·克莱顿,蒂娜·德赛","剧情,科幻,同性",美国,27040774
蝴蝶效应,2004-01-23,8.9,995417,"阿什顿·库彻,梅洛拉·沃尔特斯,艾米·斯马特","剧情,悬疑,科幻,惊悚","美国,加拿大",1292343
蝙蝠侠：黑暗骑士崛起,2012-08-27,8.9,764591,"克里斯蒂安·贝尔,汤姆·哈迪,安妮·海瑟薇","剧情,动作,科幻,犯罪,惊悚","美国,英国",3395373
2001太空漫游,1968-04-02,8.9,360122,"凯尔·杜拉,加里·洛克伍德,威廉姆·西尔维斯特","科幻,惊悚,冒险","英国,美国",1292226
攻壳机动队2：无罪,2004-03-06,9.1,73255,"田中敦子,大塚明夫,山寺宏一","剧情,科幻,动画",日本,1291566
阿凡达,2010-01-04,8.8,1489408,"萨姆·沃辛顿,佐伊·索尔达娜,西格妮·韦弗","动作,科幻,冒险",美国,1652587
超能陆战队,2015-02-28,8.8,1074948,"斯科特·安第斯,瑞恩·波特,丹尼尔·海尼","喜剧,动作,科幻,动画,冒险",美国,11026735
黑客帝国3：矩阵革命,2003-11-05,8.8,469758,"基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯","动作,科幻",美国,1302467
大都会,1927-01-10,9.1,53872,"阿弗莱德·阿贝尔,古斯塔夫·佛力施,鲁道夫·克莱恩-鲁格","剧情,科幻",德国,1298107
终结者2：审判日,1991-07-03,8.8,360183,"阿诺·施瓦辛格,琳达·汉密尔顿,爱德华·福隆","动作,科幻","美国,法国",1291844
千钧一发,1997-10-24,8.8,322394,"伊桑·霍克,乌玛·瑟曼,裘德·洛","剧情,科幻,惊悚",美国,1300117
回到未来,1985-07-03,8.8,228689,"迈克尔·J·福克斯,克里斯托弗·洛伊德,莉·汤普森","喜剧,科幻,冒险",美国,1300555
疯狂的麦克斯4：狂暴之路,2015-05-14,8.7,578625,"汤姆·哈迪,查理兹·塞隆,尼古拉斯·霍尔特","动作,科幻,冒险","澳大利亚,美国",3592854
人工智能,2001-06-29,8.7,472160,"海利·乔·奥斯蒙,弗兰西丝·奥康纳,山姆·洛巴兹","剧情,科幻","美国,英国",1302827
黑客帝国2：重装上阵,2003-07-18,8.7,428201,"基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯","动作,科幻",美国,1304141
回忆三部曲,1995-12-23,8.9,68689,"矶部勉,山寺宏一,高岛雅罗","动画,奇幻,科幻,惊悚",日本,1307897
头号玩家,2018-03-30,8.6,1433589,"泰伊·谢里丹,奥利维亚·库克,本·门德尔森","动作,科幻,冒险",美国,4920389
蜘蛛侠：平行宇宙,2018-12-21,8.6,710433,"沙梅克·摩尔,杰克·约翰逊,海莉·斯坦菲尔德","动作,科幻,动画,冒险",美国,26374197
彗星来的那一夜,2013-09-19,8.6,628944,"艾米丽·芭尔多尼,莫瑞·史特林,尼古拉斯·布兰登","科幻,悬疑,惊悚","美国,英国",25807345
蝙蝠侠：侠影之谜,2005-06-29,8.6,432933,"克里斯蒂安·贝尔,迈克尔·凯恩,连姆·尼森","剧情,动作,科幻,犯罪,惊悚","美国,英国",1309069
穿越时空的少女,2006-07-15,8.6,391388,"仲里依纱,石田卓也,板仓光隆","剧情,爱情,科幻,动画",日本,1937946
发条橙,1971-12-19,8.6,386810,"马尔科姆·麦克道威尔,帕特里克·马基,迈克尔·贝茨","犯罪,剧情,科幻","英国,美国",1292233
E.T.外星人,2002-06-20,8.6,340263,"亨利·托马斯,迪·沃伦斯,罗伯特·麦克纳夫顿","剧情,科幻",美国,1294638
银翼杀手,1982-06-25,8.6,280129,"哈里森·福特,鲁格·豪尔,肖恩·杨","科幻,惊悚",美国,1291839
守望者,2009-03-06,8.6,225053,"帕特里克·威尔森,卡拉·古奇诺,比利·克鲁德普","动作,科幻,悬疑",美国,1972698
复仇者联盟4：终局之战,2019-04-24,8.5,1104973,"小罗伯特·唐尼,克里斯·埃文斯,克里斯·海姆斯沃斯","剧情,动作,科幻,奇幻,冒险",美国,26100958
源代码,2011-08-30,8.5,876514,"杰克·吉伦哈尔,维拉·法米加,米歇尔·莫纳汉","科幻,悬疑,惊悚","美国,加拿大",3075287
火星救援,2015-11-25,8.5,778429,"马特·达蒙,杰西卡·查斯坦,克里斯汀·韦格","剧情,科幻,冒险","英国,美国,匈牙利,约旦",25864085
蜘蛛侠：纵横宇宙,2023-06-02,8.5,458917,"沙梅克·摩尔,海莉·斯坦菲尔德,奥斯卡·伊萨克","喜剧,动作,科幻,动画,奇幻,冒险",美国,30391186
变脸,1997-06-27,8.5,391550,"约翰·特拉沃尔塔,尼古拉斯·凯奇,琼·艾伦","动作,科幻,犯罪,惊悚",美国,1292659
这个男人来自地球,2007-11-13,8.5,386195,"大卫·李·史密斯,托尼·托德,约翰·比灵斯列","剧情,科幻",美国,2300586
黑客帝国动画版,2003-06-03,8.8,50165,"大塚明夫,克莱顿·华生,帕梅拉·阿德龙","动作,剧情,动画,科幻","美国,日本",1292347
机器管家,1999-12-13,8.6,110257,"罗宾·威廉姆斯,艾伯丝·戴维兹,山姆·尼尔","剧情,喜剧,科幻","美国,德国",1292529
月球,2009-07-10,8.5,281300,"山姆·洛克威尔,凯文·史派西,多米妮克·麦克艾丽戈特","剧情,科幻,悬疑","英国,美国",3073124
暖暖内含光,2004-03-19,8.5,277230,"金·凯瑞,凯特·温斯莱特,伊利亚·伍德","剧情,爱情,科幻",美国,1308777
回到未来3,1990-05-25,8.6,106214,"迈克尔·J·福克斯,克里斯托弗·洛伊德,玛丽·斯汀伯根","喜剧,科幻,西部,冒险",美国,1296666
星球大战,1977-05-25,8.5,148949,"哈里森·福特,马克·哈米尔,凯丽·费雪","动作,科幻,冒险",美国,1293838
星际宝贝,2002-06-16,8.6,76066,"黛维·切斯,克里斯·桑德斯,蒂亚·卡雷尔","喜剧,科幻,动画,冒险,家庭",美国,1307547
钢铁侠,2008-04-30,8.4,626025,"小罗伯特·唐尼,格温妮斯·帕特洛,泰伦斯·霍华德","动作,冒险,科幻,惊悚",美国,1432146
她,2013-10-12,8.4,460705,"华金·菲尼克斯,斯嘉丽·约翰逊,艾米·亚当斯","剧情,爱情,科幻",美国,6722879
回到未来2,1989-11-22,8.5,121849,"迈克尔·J·福克斯,克里斯托弗·洛伊德,莉·汤普森","喜剧,科幻,冒险",美国,1299092
星球大战前传3：西斯的反击,2005-05-20,8.5,112396,"伊万·麦克格雷格,娜塔莉·波特曼,海登·克里斯滕森","动作,科幻,奇幻,冒险",美国,1309078
潜行者,1980-05-13,8.8,37102,"亚历山大·凯伊达诺夫斯基,阿丽萨·弗雷因德利赫,安纳托利·索洛尼岑","剧情,科幻,悬疑",苏联,1295656
芬奇,2021-11-05,8.4,242661,"汤姆·汉克斯,卡莱伯·兰德里·琼斯,希默斯","剧情,科幻",美国,26897885
K星异客,2001-10-26,8.5,100224,"凯文·史派西,杰夫·布里吉斯,玛丽·麦克科马克","剧情,科幻","美国,德国",1306607
阿基拉,1988-07-16,8.5,93633,"岩田光央,佐佐木望,小山茉美","动作,科幻,动画",日本,1302770
她的回忆,1995-12-23,8.8,34227,"矶部勉,山寺宏一,高岛雅罗","动画,冒险,科幻",日本,5162334
流浪地球2,2023-01-22,8.3,1325418,"吴京,刘德华,李雪健","科幻,冒险,灾难",中国大陆,35267208
复仇者联盟,2012-05-05,8.3,675933,"小罗伯特·唐尼,克里斯·埃文斯,克里斯·海姆斯沃斯","动作,科幻,奇幻,冒险",美国,1866479
飞向太空,1972-03-20,8.7,39303,"纳塔莉亚·邦达尔丘克,多纳塔斯•巴尼奥尼斯,尤里·贾维特","剧情,科幻,悬疑",苏联,1300977
银河护卫队3,2023-05-05,8.3,537830,"克里斯·帕拉特,佐伊·索尔达娜,戴夫·巴蒂斯塔","喜剧,动作,科幻,惊悚,冒险",美国,26258779
后天,2004-05-28,8.3,531135,"丹尼斯·奎德,杰克·吉伦哈尔,埃米·罗森","科幻,灾难",美国,1308779
银翼杀手2049,2017-10-27,8.3,530623,"瑞恩·高斯林,哈里森·福特,安娜·德·阿玛斯","剧情,动作,科幻,悬疑,惊悚","美国,英国,加拿大,西班牙",10512661
原始星球,1973-12-06,8.8,31652,"让·托帕尔,让·瓦尔蒙,伊夫·巴萨克","动画,科幻","法国,捷克斯洛伐克",1291989
黑洞频率,2000-04-28,8.4,126861,"丹尼斯·奎德,吉姆·卡维泽,肖恩·多伊尔","科幻,犯罪,悬疑",美国,1294183
变形金刚,2007-07-11,8.3,513081,"希亚·拉博夫,梅根·福克斯,乔什·杜哈明","动作,科幻",美国,1794171
第九区,2009-11-27,8.3,480770,"沙尔托·科普雷,詹森·库伯,娜塔莉·博尔特","动作,剧情,科幻,惊悚","美国,新西兰,加拿大,南非",3006772
金刚狼3：殊死一战,2017-03-03,8.3,434840,"休·杰克曼,帕特里克·斯图尔特,达芙妮·基恩","剧情,动作,科幻",美国,25765735
超时空接触,1997-07-11,8.4,120250,"朱迪·福斯特,吉娜·马隆,大卫·摩斯","剧情,科幻,悬疑,惊悚",美国,1295647
生化危机,2002-03-15,8.3,384154,"米拉·乔沃维奇,米歇尔·罗德里格兹,科林·萨蒙","动作,科幻,恐怖","英国,德国,法国,美国,加拿大",1306809
异次元骇客,1999-05-28,8.4,116432,"克雷格·比尔克,阿明·缪勒-斯塔尔,格瑞辰·摩尔","科幻,悬疑,惊悚","美国,德国",1300282
黑衣人,1997-07-02,8.3,350417,"威尔·史密斯,汤米·李·琼斯,琳达·费奥伦蒂诺","动作,喜剧,科幻",美国,1301445
侏罗纪公园,2013-08-20,8.3,332928,"山姆·尼尔,劳拉·邓恩,杰夫·高布伦","科幻,惊悚,冒险",美国,1292523
星球大战2：帝国反击战,1980-05-21,8.4,111215,"马克·哈米尔,哈里森·福特,凯丽·费雪","动作,冒险,科幻",美国,1296528
异形,1979-05-25,8.3,280898,"西格妮·韦弗,汤姆·斯凯里特,维罗尼卡·卡维特","科幻,惊悚,恐怖","英国,美国",1300868
铁甲钢拳,2011-11-08,8.3,279664,"休·杰克曼,达科塔·高尤,凯文·杜兰","剧情,动作,科幻,运动","美国,印度",1972729
星球大战3：绝地归来,1983-05-25,8.4,101121,"马克·哈米尔,哈里森·福特,凯丽·费雪","动作,科幻,奇幻,冒险",美国,1297151
正义联盟：闪点悖论,2013-07-30,8.7,31599,"贾斯汀·钱伯斯,C·托马斯·豪威尔,迈克尔·B·乔丹","动作,科幻,动画,奇幻,冒险",美国,24718965
明日边缘,2014-06-06,8.2,497849,"汤姆·克鲁斯,艾米莉·布朗特,布莱丹·格里森","动作,科幻","美国,加拿大",4746257
X战警：逆转未来,2014-05-23,8.2,461412,"休·杰克曼,詹姆斯·麦卡沃伊,迈克尔·法斯宾德","剧情,动作,科幻,冒险","美国,英国",10485647
沙丘2,2024-03-08,8.2,455543,"提莫西·查拉梅,赞达亚,丽贝卡·弗格森","剧情,动作,科幻,冒险","美国,加拿大",35575567
猩球崛起,2011-10-28,8.2,445338,"安迪·瑟金斯,詹姆斯·弗兰科,芙蕾达·平托","剧情,动作,科幻",美国,3274505
X战警：第一战,2011-05-25,8.2,343217,"詹姆斯·麦卡沃伊,迈克尔·法斯宾德,凯文·贝肯","动作,剧情,科幻","美国,英国",3168089
我，机器人,2004-07-16,8.2,288964,"威尔·史密斯,布里吉特·莫伊纳汉,艾伦·图代克","动作,悬疑,科幻,惊悚","美国,德国",1308843
十二猴子,1995-12-08,8.2,240714,"布鲁斯·威利斯,玛德琳·斯托,布拉德·皮特","科幻,悬疑,惊悚",美国,1298744
终结者,1984-10-26,8.2,217581,"阿诺·施瓦辛格,迈克尔·比恩,琳达·汉密尔顿","动作,科幻,惊悚","美国,英国",1300656
升级,2018-03-10,8.2,170708,"罗根·马歇尔-格林,梅拉里·沃列何,哈里森·吉尔伯特森","动作,科幻,惊悚","美国,澳大利亚",27093707
复仇者联盟3：无限战争,2018-05-11,8.1,797164,"小罗伯特·唐尼,克里斯·埃文斯,克里斯·海姆斯沃斯","动作,科幻,奇幻,冒险",美国,24773958
云图,2013-01-31,8.1,404568,"汤姆·汉克斯,哈莉·贝瑞,吉姆·布劳德本特","剧情,科幻,悬疑","美国,德国,中国香港,新加坡,中国大陆,英国,西班牙",3530403
无姓之人,2009-09-12,8.2,131550,"杰瑞德·莱托,莎拉·波利,黛安·克鲁格","剧情,爱情,科幻,奇幻","加拿大,比利时,法国,德国",2076181
星球大战前传1：幽灵的威胁,1999-11-05,8.2,129932,"连姆·尼森,伊万·麦克格雷格,娜塔莉·波特曼","动作,科幻,冒险",美国,1294362
银河护卫队,2014-10-10,8.1,545303,"克里斯·帕拉特,佐伊·索尔达娜,戴夫·巴蒂斯塔","动作,科幻,冒险",美国,7065154
钢铁巨人,1999-08-06,8.6,29649,"艾力·马伦斯奥,范·迪塞尔,小哈里·康尼克","喜剧,动作,科幻,动画,冒险",美国,1293863
蜘蛛侠,2002-08-07,8.1,396138,"托比·马奎尔,威廉·达福,克斯汀·邓斯特","动作,科幻,冒险",美国,1306612
迷雾,2007-11-21,8.1,353775,"托马斯·简,马西娅·盖伊·哈登,劳瑞·侯登","科幻,惊悚,恐怖",美国,1945330
扎克·施奈德版正义联盟,2021-05-03,8.1,334198,"本·阿弗莱克,亨利·卡维尔,盖尔·加朵","动作,科幻,奇幻,冒险",美国,35076714
独立日,1996-07-02,8.1,301193,"威尔·史密斯,杰夫·高布伦,比尔·普尔曼","动作,科幻,冒险,灾难",美国,1293013
最终幻想7：圣子降临,2005-08-31,8.3,60123,"樱井孝宏,伊藤步,森久保祥太郎","动画,动作,科幻,惊悚",日本,1422063
星际迷航,2009-05-15,8.1,176224,"克里斯·派恩,扎克瑞·昆图,伦纳德·尼莫伊","动作,冒险,科幻","美国,德国",2132932
异形2,1986-07-18,8.1,171750,"西格妮·韦弗,凯莉·赫恩,迈克尔·比恩","动作,科幻,惊悚,冒险",美国,1293792
宇宙探索编辑部,2023-04-01,8.0,627304,"杨皓宇,艾丽娅,王一通","喜剧,科幻",中国大陆,34941536
控方证人,1957-12-17,9.6,628679,"泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿","剧情,犯罪,悬疑,惊悚",美国,1296141
无间道,2003-09-05,9.3,1452822,"刘德华,梁朝伟,黄秋生","剧情,犯罪,惊悚",中国香港,1307914
蝙蝠侠：黑暗骑士,2008-07-14,9.2,1121733,"克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特","剧情,动作,科幻,犯罪,惊悚","美国,英国",1851857
红辣椒,2006-09-02,9.1,513390,"林原惠美,江守彻,堀胜之祐","动画,悬疑,科幻,惊悚",日本,1865703
未麻的部屋,1997-08-05,9.1,380535,"岩男润子,松本梨香,辻亲八","剧情,犯罪,动画,悬疑,惊悚",日本,1395091
搏击俱乐部,1999-09-10,9.0,899879,"爱德华·诺顿,布拉德·皮特,海伦娜·伯翰·卡特","剧情,动作,悬疑,惊悚",美国,1292000
惊魂记,1960-06-16,9.0,323186,"安东尼·博金斯,维拉·迈尔斯,约翰·加文","悬疑,惊悚,恐怖",美国,1293181
黑镜：圣诞特别篇,2014-12-16,9.1,129167,"乔恩·哈姆,拉菲·斯波,奥娜·卓别林","剧情,科幻,惊悚",英国,25964630
禁闭岛,2010-02-13,8.9,1039692,"莱昂纳多·迪卡普里奥,马克·鲁弗洛,本·金斯利","剧情,悬疑,惊悚",美国,2334904
蝴蝶效应,2004-01-23,8.9,995417,"阿什顿·库彻,梅洛拉·沃尔特斯,艾米·斯马特","剧情,悬疑,科幻,惊悚","美国,加拿大",1292343
沉默的羔羊,1991-02-14,8.9,947879,"朱迪·福斯特,安东尼·霍普金斯,斯科特·格伦","剧情,犯罪,惊悚",美国,1293544
致命魔术,2006-10-17,8.9,908788,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩","剧情,悬疑,惊悚","英国,美国",1780330
致命ID,2003-04-25,8.9,881605,"约翰·库萨克,雷·利奥塔,阿曼达·皮特","剧情,悬疑,惊悚",美国,1297192
杀人回忆,2003-05-02,8.9,770501,"宋康昊,金相庆,金雷夏","剧情,动作,犯罪,悬疑,惊悚",韩国,1300299
蝙蝠侠：黑暗骑士崛起,2012-08-27,8.9,764591,"克里斯蒂安·贝尔,汤姆·哈迪,安妮·海瑟薇","剧情,动作,科幻,犯罪,惊悚","美国,英国",3395373
第六感,1999-08-06,8.9,592202,"布鲁斯·威利斯,海利·乔·奥斯蒙,托妮·科莱特","剧情,悬疑,惊悚",美国,1297630
2001太空漫游,1968-04-02,8.9,360122,"凯尔·杜拉,加里·洛克伍德,威廉姆·西尔维斯特","科幻,惊悚,冒险","英国,美国",1292226
末路狂花,1991-05-24,8.9,294398,"吉娜·戴维斯,苏珊·萨兰登,哈威·凯特尔","犯罪,剧情,惊悚","美国,英国,法国",1291992
看不见的客人,2017-09-15,8.8,1350135,"马里奥·卡萨斯,阿娜·瓦格纳,何塞·科罗纳多","剧情,犯罪,悬疑,惊悚",西班牙,26580232
七宗罪,1995-09-22,8.8,991224,"摩根·弗里曼,布拉德·皮特,凯文·史派西","剧情,犯罪,悬疑,惊悚",美国,1292223
无间道2,2003-10-17,8.8,519806,"陈冠希,余文乐,曾志伟","剧情,犯罪,惊悚",中国香港,1307106
追随,1998-04-24,8.9,192417,"杰里米·西奥伯德,亚历克斯·霍,露西·拉塞尔","犯罪,悬疑,惊悚",英国,1397546
洞,1960-03-18,9.2,56145,"马克·米歇尔,吉恩·凯乐蒂,菲利普·勒鲁瓦","犯罪,剧情,惊悚","法国,意大利",1424334
谍影重重3,2007-11-15,8.8,441479,"马特·达蒙,朱丽娅·斯蒂尔斯,大卫·斯特雷泽恩","动作,悬疑,惊悚","美国,德国,法国,英国",1578507
电话谋杀案,1954-05-29,8.9,142345,"雷·米兰德,格蕾丝·凯利,罗伯特·卡明斯","犯罪,悬疑,惊悚",美国,1301231
千钧一发,1997-10-24,8.8,322394,"伊桑·霍克,乌玛·瑟曼,裘德·洛","剧情,科幻,惊悚",美国,1300117
小丑,2019-08-31,8.7,1064288,"华金·菲尼克斯,罗伯特·德尼罗,马克·马龙","剧情,犯罪,惊悚","美国,加拿大",27119724
消失的爱人,2014-09-26,8.7,1012586,"本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯","剧情,犯罪,悬疑,惊悚",美国,21318488
记忆碎片,2000-09-05,8.7,634471,"盖·皮尔斯,凯瑞-安·莫斯,乔·潘托里亚诺","犯罪,剧情,悬疑,惊悚",美国,1304447
电锯惊魂,2004-01-19,8.7,569946,"雷·沃纳尔,加利·艾尔维斯,丹尼·格洛弗","悬疑,惊悚,恐怖",美国,1417598
洛城机密,1997-09-19,8.8,157482,"凯文·史派西,罗素·克劳,盖·皮尔斯","剧情,犯罪,悬疑,惊悚",美国,1292348
血钻,2006-12-08,8.7,400149,"莱昂纳多·迪卡普里奥,杰曼·翰苏,詹妮弗·康纳利","剧情,惊悚,冒险","美国,德国,英国",1428175
谍影重重2,2004-11-14,8.7,373284,"马特·达蒙,布莱恩·考克斯,琼·艾伦","动作,悬疑,惊悚","美国,德国",1308767
浪潮,2008-03-13,8.7,283788,"于尔根·福格尔,弗雷德里克·劳,马克思·雷迈特","剧情,惊悚",德国,2297265
后窗,1954-08-01,8.7,216038,"詹姆斯·斯图尔特,格蕾丝·凯利,温戴尔·柯瑞","悬疑,惊悚",美国,1299080
釜山行,2016-05-13,8.6,1267790,"孔刘,郑有美,马东锡","动作,惊悚,灾难",韩国,25986180
黑天鹅,2010-09-01,8.6,810867,"娜塔莉·波特曼,米拉·库尼斯,文森特·卡塞尔","剧情,惊悚",美国,1978709
用心棒,1961-04-25,9.0,56540,"三船敏郎,仲代达矢,司叶子","剧情,动作,惊悚",日本,1292515
彗星来的那一夜,2013-09-19,8.6,628944,"艾米丽·芭尔多尼,莫瑞·史特林,尼古拉斯·布兰登","科幻,悬疑,惊悚","美国,英国",25807345
谍影重重,2002-11-21,8.6,453979,"马特·达蒙,弗朗卡·波滕特,克里斯·库珀","动作,悬疑,惊悚","美国,德国,捷克",1304102
回忆三部曲,1995-12-23,8.9,68689,"矶部勉,山寺宏一,高岛雅罗","动画,奇幻,科幻,惊悚",日本,1307897
蝙蝠侠：侠影之谜,2005-06-29,8.6,432933,"克里斯蒂安·贝尔,迈克尔·凯恩,连姆·尼森","剧情,动作,科幻,犯罪,惊悚","美国,英国",1309069
迷魂记,1958-05-09,8.7,148076,"詹姆斯·斯图尔特,金·诺瓦克,芭芭拉·贝尔·戈迪斯","爱情,悬疑,惊悚",美国,1297294
金福南杀人事件始末,2010-09-02,8.6,281329,"徐英姬,池成媛,朴政学","剧情,犯罪,惊悚",韩国,4826419
银翼杀手,1982-06-25,8.6,280129,"哈里森·福特,鲁格·豪尔,肖恩·杨","科幻,惊悚",美国,1291839
非常嫌疑犯,1995-01-25,8.6,269503,"史蒂芬·鲍德温,加布里埃尔·伯恩,本尼西奥·德尔·托罗","犯罪,悬疑,惊悚","德国,美国",1292214
亚当斯一家的价值观,1993-11-19,8.8,74934,"克里斯蒂娜·里奇,琼·库萨克,劳尔·胡里亚","喜剧,家庭,奇幻,惊悚",美国,1299900
恐怖游轮,2009-10-16,8.5,923787,"梅利莎·乔治,利亚姆·海姆斯沃斯,迈克尔·多曼","剧情,悬疑,惊悚","英国,澳大利亚",3011051
源代码,2011-08-30,8.5,876514,"杰克·吉伦哈尔,维拉·法米加,米歇尔·莫纳汉","科幻,悬疑,惊悚","美国,加拿大",3075287
神探,2008-02-22,8.5,324502,"刘青云,安志杰,林家栋","动作,犯罪,悬疑,惊悚",中国香港,2027938
网络谜踪,2018-12-14,8.5,542499,"约翰·赵,米切尔·拉,黛博拉·梅辛","剧情,犯罪,悬疑,惊悚","美国,俄罗斯",27615441
变脸,1997-06-27,8.5,391550,"约翰·特拉沃尔塔,尼古拉斯·凯奇,琼·艾伦","动作,科幻,犯罪,惊悚",美国,1292659
精英部队2：大敌当前,2011-11-25,8.7,88858,"瓦格纳·马拉,安德烈·拉米罗,米尔黑·考塔兹","剧情,动作,犯罪,惊悚",巴西,4304402
花火,1997-09-03,8.6,129811,"北野武,岸本加世子,大杉涟","剧情,爱情,犯罪,惊悚",日本,1302642
风声,2009-09-29,8.4,628995,"周迅,李冰冰,张涵予","犯罪,剧情,惊悚,战争",中国大陆,3734112
钢铁侠,2008-04-30,8.4,626025,"小罗伯特·唐尼,格温妮斯·帕特洛,泰伦斯·霍华德","动作,冒险,科幻,惊悚",美国,1432146
喋血双雄,1989-07-06,8.5,90104,"周润发,李修贤,叶倩文","动作,犯罪,剧情,惊悚",中国香港,1296519
穆赫兰道,2001-05-16,8.4,464605,"娜奥米·沃茨,劳拉·哈灵,安·米勒","剧情,悬疑,惊悚","法国,美国",1292217
